lat	lng	type
42.6817745	23.2877438	храм
42.6899348	23.3275387	храм
42.696546	23.33124	храм
42.7397165	23.3466448	храм
42.7245712	23.3466384	храм
42.7039747	23.2975556	храм
42.6846744	23.3628445	храм
42.6298034	23.3097835	храм
42.6971186	23.3189714	храм
42.7325945	23.501229	храм
42.6949334	23.3445161	храм
42.6888121	23.2465669	храм
42.6791611	23.2994395	храм
42.7177562	23.3477851	храм
42.7439844	23.2670102	храм
42.7114274	23.3336248	храм
42.7216249	23.2417609	храм
42.6609353	23.274042	храм
42.70575333	23.51561546	бензиностанция
42.74069977	22.89159966	бензиностанция
42.67509842	23.58930016	бензиностанция
42.82183838	23.21152306	бензиностанция
42.80530167	23.22030067	бензиностанция
42.78889084	23.32757759	бензиностанция
42.63040543	23.4648819	бензиностанция
42.6944313	23.29429817	бензиностанция
42.68518829	23.40021324	бензиностанция
42.74599838	23.22922516	бензиностанция
42.71620178	23.28089905	бензиностанция
42.70230103	23.38339996	бензиностанция
42.6508522	23.2178154	бензиностанция
42.65779877	23.33919907	бензиностанция
42.67499924	23.37470055	бензиностанция
42.71170044	23.26880074	бензиностанция
42.72038651	23.25569153	бензиностанция
42.70230103	23.29739952	бензиностанция
42.65885544	23.40287972	бензиностанция
42.67269897	23.39049912	бензиностанция
42.69110107	23.22979927	бензиностанция
42.7234993	23.32850075	бензиностанция
42.66070175	23.27289963	бензиностанция
42.67237854	23.24337959	бензиностанция
42.70439911	23.33130074	бензиностанция
42.6631012	23.29150009	бензиностанция
42.63026428	23.3742981	бензиностанция
42.71838379	23.25438499	бензиностанция
42.66950989	23.38417435	бензиностанция
42.66817093	23.32895279	бензиностанция
42.65010071	23.29310036	бензиностанция
42.63840103	23.3192997	бензиностанция
42.75195313	23.27461433	бензиностанция
42.67807007	23.36706352	бензиностанция
42.66398621	23.26067734	бензиностанция
42.70454025	23.35800934	бензиностанция
42.64519119	23.41238976	бензиностанция
42.65923309	23.30584717	бензиностанция
42.69749832	23.2961998	бензиностанция
42.70690155	23.46839905	бензиностанция
42.6678009	23.3682003	бензиностанция
42.75389862	23.4423008	бензиностанция
42.6513176	23.3162117	бензиностанция
42.71469879	23.30579948	бензиностанция
42.71500778	23.26304626	бензиностанция
42.68086624	23.30831909	бензиностанция
42.69960022	23.36849976	бензиностанция
42.72031021	23.27957535	бензиностанция
42.65449905	23.2276001	бензиностанция
42.71049881	23.33580017	бензиностанция
42.62850189	23.34589958	бензиностанция
42.71054077	23.34933853	бензиностанция
42.66189957	23.37960052	бензиностанция
42.71429825	23.32789993	бензиностанция
42.65999985	23.34799957	бензиностанция
42.63879013	23.32074928	бензиностанция
42.67408371	23.25025558	бензиностанция
42.70629883	23.30599976	бензиностанция
42.70909882	23.36829948	бензиностанция
42.71916199	23.25340652	бензиностанция
42.73300171	23.25169945	бензиностанция
42.64789963	23.37590027	бензиностанция
42.67739868	23.29730034	бензиностанция
42.66936493	23.39237976	бензиностанция
42.69390106	23.29339981	бензиностанция
42.6506424	23.28987312	бензиностанция
42.71429825	23.27630043	бензиностанция
42.70251846	23.35079384	бензиностанция
42.68761063	23.27538872	бензиностанция
42.65859985	23.38170052	бензиностанция
42.73155975	23.29641342	бензиностанция
42.7069397	23.45737076	бензиностанция
42.73585892	23.31468582	бензиностанция
42.73840714	23.28916168	бензиностанция
42.66794968	23.38481903	бензиностанция
42.69919968	23.36050034	бензиностанция
42.6908989	23.36989975	бензиностанция
42.65800095	23.27169991	бензиностанция
42.7018013	23.3512001	бензиностанция
42.66320038	23.35829926	бензиностанция
42.64925766	23.21411324	бензиностанция
42.71063232	23.30849457	бензиностанция
42.70959854	23.42810059	бензиностанция
42.65118027	23.37958908	бензиностанция
42.71064758	23.27218246	бензиностанция
42.68962097	23.27677155	бензиностанция
42.70697784	23.41051483	бензиностанция
42.73266983	23.31403732	бензиностанция
42.65693283	23.38583565	бензиностанция
42.70360184	23.31089973	бензиностанция
42.71609879	23.28230095	бензиностанция
42.66153717	23.39173508	бензиностанция
42.72296143	23.30676079	бензиностанция
42.68221664	23.24287224	бензиностанция
42.69110107	23.29560089	бензиностанция
42.62874985	23.34506226	бензиностанция
